"Sample" "Family.ID" "Population" "Population.Description" "Gender" "Relationship" "superpop"
"1" "HG00096" "HG00096" "GBR" "British in England and Scotland" "male" "" "EUR"
"2" "HG00097" "HG00097" "GBR" "British in England and Scotland" "female" "" "EUR"
"3" "HG00098" "HG00098" "GBR" "British in England and Scotland" "male" "" "EUR"
"4" "HG00099" "HG00099" "GBR" "British in England and Scotland" "female" "" "EUR"
"5" "HG00100" "HG00100" "GBR" "British in England and Scotland" "female" "" "EUR"
"6" "HG00101" "HG00101" "GBR" "British in England and Scotland" "male" "" "EUR"
"7" "HG00102" "HG00102" "GBR" "British in England and Scotland" "female" "" "EUR"
"8" "HG00103" "HG00103" "GBR" "British in England and Scotland" "male" "" "EUR"
"9" "HG00104" "HG00104" "GBR" "British in England and Scotland" "female" "" "EUR"
"10" "HG00105" "HG00105" "GBR" "British in England and Scotland" "male" "" "EUR"
"11" "HG00106" "HG00106" "GBR" "British in England and Scotland" "female" "" "EUR"
"12" "HG00107" "HG00107" "GBR" "British in England and Scotland" "male" "" "EUR"
"13" "HG00108" "HG00108" "GBR" "British in England and Scotland" "male" "" "EUR"
"14" "HG00109" "HG00109" "GBR" "British in England and Scotland" "male" "" "EUR"
"15" "HG00110" "HG00110" "GBR" "British in England and Scotland" "female" "" "EUR"
"16" "HG00111" "HG00111" "GBR" "British in England and Scotland" "female" "" "EUR"
"17" "HG00112" "HG00112" "GBR" "British in England and Scotland" "male" "" "EUR"
"18" "HG00113" "HG00113" "GBR" "British in England and Scotland" "male" "" "EUR"
"19" "HG00114" "HG00114" "GBR" "British in England and Scotland" "male" "" "EUR"
"20" "HG00115" "HG00115" "GBR" "British in England and Scotland" "male" "" "EUR"
"21" "HG00116" "HG00116" "GBR" "British in England and Scotland" "male" "" "EUR"
"22" "HG00117" "HG00117" "GBR" "British in England and Scotland" "male" "" "EUR"
"23" "HG00118" "HG00118" "GBR" "British in England and Scotland" "female" "" "EUR"
"24" "HG00119" "HG00119" "GBR" "British in England and Scotland" "male" "" "EUR"
"25" "HG00120" "HG00120" "GBR" "British in England and Scotland" "female" "" "EUR"
"26" "HG00121" "HG00121" "GBR" "British in England and Scotland" "female" "" "EUR"
"27" "HG00122" "HG00122" "GBR" "British in England and Scotland" "female" "" "EUR"
"28" "HG00123" "HG00123" "GBR" "British in England and Scotland" "female" "" "EUR"
"29" "HG00124" "HG00124" "GBR" "British in England and Scotland" "female" "" "EUR"
"30" "HG00125" "HG00125" "GBR" "British in England and Scotland" "female" "" "EUR"
"31" "HG00126" "HG00126" "GBR" "British in England and Scotland" "male" "" "EUR"
"32" "HG00127" "HG00127" "GBR" "British in England and Scotland" "female" "" "EUR"
"33" "HG00128" "HG00128" "GBR" "British in England and Scotland" "female" "" "EUR"
"34" "HG00129" "HG00129" "GBR" "British in England and Scotland" "male" "" "EUR"
"35" "HG00130" "HG00130" "GBR" "British in England and Scotland" "female" "" "EUR"
"36" "HG00131" "HG00131" "GBR" "British in England and Scotland" "male" "" "EUR"
"37" "HG00132" "HG00132" "GBR" "British in England and Scotland" "female" "" "EUR"
"38" "HG00133" "HG00133" "GBR" "British in England and Scotland" "female" "" "EUR"
"39" "HG00134" "HG00134" "GBR" "British in England and Scotland" "female" "" "EUR"
"40" "HG00135" "HG00135" "GBR" "British in England and Scotland" "female" "" "EUR"
"41" "HG00136" "HG00136" "GBR" "British in England and Scotland" "male" "" "EUR"
