FID	IID	Categorical
FAM001	ID001	GroupA
FAM002	ID002	GroupA
FAM003	ID003	GroupA
FAM004	ID004	GroupA
FAM005	ID005	GroupB
FAM006	ID006	GroupD
FAM007	ID007	GroupB
FAM008	ID008	GroupB
FAM009	ID009	GroupA
FAM010	ID010	GroupD
FAM011	ID011	GroupC
FAM012	ID012	GroupD
FAM013	ID013	GroupC
FAM014	ID014	GroupD
FAM015	ID015	GroupA
FAM016	ID016	GroupA
FAM017	ID017	GroupB
FAM018	ID018	GroupD
FAM019	ID019	GroupB
FAM020	ID020	GroupB
FAM021	ID021	GroupC
FAM022	ID022	GroupC
FAM023	ID023	GroupA
FAM024	ID024	GroupA
FAM025	ID025	GroupC
FAM026	ID026	GroupD
FAM027	ID027	GroupA
FAM028	ID028	GroupC
FAM029	ID029	GroupA
FAM030	ID030	GroupA
FAM031	ID031	GroupD
FAM032	ID032	GroupB
FAM033	ID033	GroupD
FAM034	ID034	GroupD
FAM035	ID035	GroupC
FAM036	ID036	GroupB
FAM037	ID037	GroupA
FAM038	ID038	GroupB
FAM039	ID039	GroupD
FAM040	ID040	GroupB
FAM041	ID041	GroupC
FAM042	ID042	GroupC
FAM043	ID043	GroupB
FAM044	ID044	GroupB
FAM045	ID045	GroupD
FAM046	ID046	GroupD
FAM047	ID047	GroupD
FAM048	ID048	GroupB
FAM049	ID049	GroupB
FAM050	ID050	GroupA
FAM051	ID051	GroupD
FAM052	ID052	GroupA
FAM053	ID053	GroupD
FAM054	ID054	GroupB
FAM055	ID055	GroupD
FAM056	ID056	GroupB
FAM057	ID057	GroupC
FAM058	ID058	GroupD
FAM059	ID059	GroupC
FAM060	ID060	GroupA
FAM061	ID061	GroupA
FAM062	ID062	GroupB
FAM063	ID063	GroupB
FAM064	ID064	GroupB
FAM065	ID065	GroupB
FAM066	ID066	GroupB
FAM067	ID067	GroupD
FAM068	ID068	GroupC
FAM069	ID069	GroupB
FAM070	ID070	GroupA
FAM071	ID071	GroupB
FAM072	ID072	GroupC
FAM073	ID073	GroupB
FAM074	ID074	GroupB
FAM075	ID075	GroupB
FAM076	ID076	GroupD
FAM077	ID077	GroupA
FAM078	ID078	GroupA
FAM079	ID079	GroupA
FAM080	ID080	GroupC
FAM081	ID081	GroupD
FAM082	ID082	GroupA
FAM083	ID083	GroupB
FAM084	ID084	GroupA
FAM085	ID085	GroupA
FAM086	ID086	GroupD
FAM087	ID087	GroupD
FAM088	ID088	GroupA
FAM089	ID089	GroupC
FAM090	ID090	GroupC
FAM091	ID091	GroupA
FAM092	ID092	GroupD
FAM093	ID093	GroupA
FAM094	ID094	GroupD
FAM095	ID095	GroupD
FAM096	ID096	GroupB
FAM097	ID097	GroupA
FAM098	ID098	GroupD
FAM099	ID099	GroupB
FAM100	ID100	GroupB
